col,row,lat,long,id,noSnowMap,noSnowMapRBG,centroid_lat,centroid_long,area_points,x,y,area
671,308,35.3685302734,-118.107383728,25,2,[  0 128   0],35.383604049682617,-118.26257705688477,"{'top_right': (671, 307), 'bottom_left': (670, 308), 'bottom_right': (671, 308), 'top_left': (670, 307)}",2316868.62805,1709356.51843,401.55697338
672,308,35.2571563721,-118.28086853,26,2,[  0 128   0],35.271829605102539,-118.43574714660645,"{'top_right': (672, 307), 'bottom_left': (671, 308), 'bottom_right': (672, 308), 'top_left': (671, 307)}",2301238.03699,1696823.05711,400.753815446
673,308,35.1454620361,-118.453529358,27,2,[  0 128   0],35.15974235534668,-118.60809135437012,"{'top_right': (673, 307), 'bottom_left': (672, 308), 'bottom_right': (673, 308), 'top_left': (672, 307)}",2285638.17455,1684284.0936,399.948525429
674,308,35.0334625244,-118.625366211,28,2,[  0 128   0],35.047348976135254,-118.77960968017578,"{'top_right': (674, 307), 'bottom_left': (673, 308), 'bottom_right': (674, 308), 'top_left': (673, 307)}",2270069.37791,1671740.0412,399.134904032
664,309,36.2841262817,-117.004905701,29,2,[  0 128   0],36.30176830291748,-117.16280174255371,"{'top_right': (664, 308), 'bottom_left': (663, 309), 'bottom_right': (664, 309), 'top_left': (663, 308)}",2414640.26911,1812782.08039,408.183292553
665,309,36.1745910645,-117.184486389,30,2,[  0 128   0],36.191819190979004,-117.34207344055176,"{'top_right': (665, 308), 'bottom_left': (664, 309), 'bottom_right': (665, 309), 'top_left': (664, 308)}",2398788.71254,1800259.94394,407.393399841
666,309,36.0647125244,-117.363212585,31,2,[  0 128   0],36.081526756286621,-117.52049255371094,"{'top_right': (666, 308), 'bottom_left': (665, 309), 'bottom_right': (666, 309), 'top_left': (665, 308)}",2382967.52382,1787731.25073,406.598032933
667,309,35.9544906616,-117.541091919,32,2,[  0 128   0],35.97089672088623,-117.69806098937988,"{'top_right': (667, 308), 'bottom_left': (666, 309), 'bottom_right': (667, 309), 'top_left': (666, 308)}",2367176.85536,1775196.2895,405.800677605
668,309,35.8439369202,-117.71812439,33,2,[  0 128   0],35.859933853149414,-117.87478256225586,"{'top_right': (668, 308), 'bottom_left': (667, 309), 'bottom_right': (668, 309), 'top_left': (667, 308)}",2351416.69279,1762655.24271,405.001533751
669,309,35.7330474854,-117.894317627,34,2,[  0 128   0],35.748639106750488,-118.05066108703613,"{'top_right': (669, 308), 'bottom_left': (668, 309), 'bottom_right': (669, 309), 'top_left': (668, 308)}",2335687.02796,1750107.87183,404.205184959
670,309,35.6218299866,-118.069671631,35,2,[  0 128   0],35.637020111083984,-118.22569847106934,"{'top_right': (670, 308), 'bottom_left': (669, 309), 'bottom_right': (670, 309), 'top_left': (669, 308)}",2319988.01805,1737554.68492,403.399447146
671,309,35.5102920532,-118.244186401,36,2,[  0 128   0],35.525082588195801,-118.3998966217041,"{'top_right': (671, 308), 'bottom_left': (670, 309), 'bottom_right': (671, 309), 'top_left': (670, 308)}",2304319.82679,1724995.97977,402.588055694
672,309,35.3984375,-118.417869568,37,2,[  0 128   0],35.412826538085938,-118.5732593536377,"{'top_right': (672, 308), 'bottom_left': (671, 309), 'bottom_right': (672, 309), 'top_left': (671, 308)}",2288682.45145,1712431.41898,401.781585222
