col,row,lat,long,id,noSnowMap,noSnowMapRBG,centroid_lat,centroid_long,area_points,x,y,area
624,354,47.6899452209,-115.571617126,196,2,[  0 128   0],47.712603569030762,-115.77749633789062,"{'top_right': (624, 353), 'bottom_left': (623, 354), 'bottom_right': (624, 354), 'top_left': (623, 353)}",2191768.97323,1412587.26653,487.462322117
625,354,47.5741500854,-115.810821533,197,2,[  0 128   0],47.596212387084961,-116.0162239074707,"{'top_right': (625, 353), 'bottom_left': (624, 354), 'bottom_right': (625, 354), 'top_left': (624, 353)}",2173717.03691,1399879.87237,486.696962084
626,354,47.457775116,-116.048599243,198,2,[  0 128   0],47.479246139526367,-116.25351524353027,"{'top_right': (626, 353), 'bottom_left': (625, 354), 'bottom_right': (626, 354), 'top_left': (625, 353)}",2155691.78893,1387166.885,485.929021149
627,354,47.3408279419,-116.284950256,199,2,[  0 128   0],47.361713409423828,-116.4893741607666,"{'top_right': (627, 353), 'bottom_left': (626, 354), 'bottom_right': (627, 354), 'top_left': (626, 353)}",2137693.45592,1374448.55481,485.156451586
628,354,47.2233200073,-116.519874573,200,2,[  0 128   0],47.243621826171875,-116.72380447387695,"{'top_right': (628, 353), 'bottom_left': (627, 354), 'bottom_right': (628, 354), 'top_left': (627, 353)}",2119722.27329,1361725.02967,484.379416416
629,354,47.105255127,-116.753379822,201,2,[  0 128   0],47.124978065490723,-116.95681190490723,"{'top_right': (629, 353), 'bottom_left': (628, 354), 'bottom_right': (629, 354), 'top_left': (628, 353)}",2101778.33892,1348996.3587,483.595985848
602,355,50.2497024536,-110.096755981,202,2,[  0 128   0],50.286056518554688,-110.31273078918457,"{'top_right': (602, 354), 'bottom_left': (601, 355), 'bottom_right': (602, 355), 'top_left': (601, 354)}",2582852.63349,1709034.02151,504.029846477
603,355,50.1480712891,-110.369186401,203,2,[  0 128   0],50.183748245239258,-110.58482360839844,"{'top_right': (603, 354), 'bottom_left': (602, 355), 'bottom_right': (603, 355), 'top_left': (602, 354)}",2564239.36429,1696463.45152,503.37847002
604,355,50.0456848145,-110.640098572,204,2,[  0 128   0],50.080683708190918,-110.85539817810059,"{'top_right': (604, 354), 'bottom_left': (603, 355), 'bottom_right': (604, 355), 'top_left': (603, 354)}",2545649.45072,1683883.75426,502.725130468
605,355,49.9425430298,-110.909507751,205,2,[  0 128   0],49.976871490478516,-111.12445640563965,"{'top_right': (605, 354), 'bottom_left': (604, 355), 'bottom_right': (605, 355), 'top_left': (604, 354)}",2527082.97581,1671295.08755,502.07060444
606,355,49.8386611938,-111.177406311,206,2,[  0 128   0],49.872320175170898,-111.39199638366699,"{'top_right': (606, 354), 'bottom_left': (605, 355), 'bottom_right': (606, 355), 'top_left': (605, 354)}",2508540.31236,1658697.62747,501.406771941
607,355,49.7340431213,-111.44379425,207,2,[  0 128   0],49.767038345336914,-111.65801811218262,"{'top_right': (607, 354), 'bottom_left': (606, 355), 'bottom_right': (607, 355), 'top_left': (606, 354)}",2490021.71535,1646091.54428,500.737091692
608,355,49.6287002563,-111.708679199,208,2,[  0 128   0],49.66103458404541,-111.92252540588379,"{'top_right': (608, 354), 'bottom_left': (607, 355), 'bottom_right': (608, 355), 'top_left': (607, 354)}",2471527.18297,1633476.99886,500.060976467
609,355,49.5226402283,-111.972061157,209,2,[  0 128   0],49.554317474365234,-112.18552207946777,"{'top_right': (609, 354), 'bottom_left': (608, 355), 'bottom_right': (609, 355), 'top_left': (608, 354)}",2453056.72819,1620854.15811,499.380993351
610,355,49.4158744812,-112.233940125,210,2,[  0 128   0],49.446894645690918,-112.44700813293457,"{'top_right': (610, 354), 'bottom_left': (609, 355), 'bottom_right': (610, 355), 'top_left': (609, 354)}",2434610.65793,1608223.0985,498.695052713
611,355,49.3084030151,-112.494316101,211,2,[  0 128   0],49.338775634765625,-112.70698547363281,"{'top_right': (611, 354), 'bottom_left': (610, 355), 'bottom_right': (611, 355), 'top_left': (610, 354)}",2416189.14993,1595584.10572,498.002614311
612,355,49.2002449036,-112.753196716,212,2,[  0 128   0],49.22996997833252,-112.96545600891113,"{'top_right': (612, 354), 'bottom_left': (611, 355), 'bottom_right': (612, 355), 'top_left': (611, 354)}",2397792.39899,1582937.46901,497.303476713
613,355,49.0914001465,-113.010574341,213,2,[  0 128   0],49.120484352111816,-113.22242164611816,"{'top_right': (613, 354), 'bottom_left': (612, 355), 'bottom_right': (613, 355), 'top_left': (612, 354)}",2379420.62426,1570283.1631,496.598235512
614,355,48.9818840027,-113.266464233,214,2,[  0 128   0],49.010326385498047,-113.4778881072998,"{'top_right': (614, 354), 'bottom_left': (613, 355), 'bottom_right': (614, 355), 'top_left': (613, 354)}",2361073.77663,1557621.26602,495.892350695
615,355,48.8716964722,-113.520866394,215,2,[  0 128   0],48.899504661560059,-113.73185729980469,"{'top_right': (615, 354), 'bottom_left': (614, 355), 'bottom_right': (615, 355), 'top_left': (614, 354)}",2342752.09507,1544951.97346,495.178733487
616,355,48.7608528137,-113.773773193,216,2,[  0 128   0],48.788028717041016,-113.98433113098145,"{'top_right': (616, 354), 'bottom_left': (615, 355), 'bottom_right': (616, 355), 'top_left': (615, 354)}",2324455.83191,1532275.59,494.456665211
617,355,48.649356842,-114.02519989,217,2,[  0 128   0],48.675906181335449,-114.23531532287598,"{'top_right': (617, 354), 'bottom_left': (616, 355), 'bottom_right': (617, 355), 'top_left': (616, 354)}",2306184.97738,1519592.20804,493.734189609
618,355,48.5372200012,-114.275146484,218,2,[  0 128   0],48.563145637512207,-114.48481178283691,"{'top_right': (618, 354), 'bottom_left': (617, 355), 'bottom_right': (618, 355), 'top_left': (617, 354)}",2287939.81225,1506902.03437,493.005982896
619,355,48.4244499207,-114.523612976,219,2,[  0 128   0],48.449753761291504,-114.73282241821289,"{'top_right': (619, 354), 'bottom_left': (618, 355), 'bottom_right': (619, 355), 'top_left': (618, 354)}",2269720.63226,1494205.06628,492.271042306
620,355,48.311050415,-114.770606995,220,2,[  0 128   0],48.335740089416504,-114.9793529510498,"{'top_right': (620, 354), 'bottom_left': (619, 355), 'bottom_right': (620, 355), 'top_left': (619, 354)}",2251527.46202,1481501.62121,491.526631989
621,355,48.1970367432,-115.01612854,221,2,[  0 128   0],48.221114158630371,-115.22440910339355,"{'top_right': (621, 354), 'bottom_left': (620, 355), 'bottom_right': (621, 355), 'top_left': (620, 354)}",2233360.33876,1468792.02258,490.779374231
622,355,48.0824127197,-115.260185242,222,2,[  0 128   0],48.105880737304688,-115.46799468994141,"{'top_right': (622, 354), 'bottom_left': (621, 355), 'bottom_right': (622, 355), 'top_left': (621, 354)}",2215219.45058,1456076.06898,490.033174173
623,355,47.9671859741,-115.502784729,223,2,[  0 128   0],47.990048408508301,-115.71011352539062,"{'top_right': (623, 354), 'bottom_left': (622, 355), 'bottom_right': (623, 355), 'top_left': (622, 354)}",2197104.9962,1443353.98671,489.278783163
624,355,47.8513641357,-115.743927002,224,2,[  0 128   0],47.873625755310059,-115.95077133178711,"{'top_right': (624, 354), 'bottom_left': (623, 355), 'bottom_right': (624, 355), 'top_left': (623, 354)}",2179017.04391,1430626.00763,488.51772677
625,355,47.734954834,-115.98361969,225,2,[  0 128   0],47.756621360778809,-116.18997001647949,"{'top_right': (625, 354), 'bottom_left': (624, 355), 'bottom_right': (625, 355), 'top_left': (624, 354)}",2160955.95789,1417892.36445,487.749096733
626,355,47.6179695129,-116.221855164,226,2,[  0 128   0],47.639042854309082,-116.4277172088623,"{'top_right': (626, 354), 'bottom_left': (625, 355), 'bottom_right': (626, 355), 'top_left': (625, 354)}",2142921.68406,1405153.19393,486.980818237
627,355,47.5004119873,-116.458656311,227,2,[  0 128   0],47.520896911621094,-116.66401863098145,"{'top_right': (627, 354), 'bottom_left': (626, 355), 'bottom_right': (627, 355), 'top_left': (626, 354)}",2124914.31684,1392408.53086,486.207846827
628,355,47.3822937012,-116.694015503,228,2,[  0 128   0],47.402192115783691,-116.89887619018555,"{'top_right': (628, 354), 'bottom_left': (627, 355), 'bottom_right': (628, 355), 'top_left': (627, 354)}",2106934.25053,1379658.61959,485.425499255
629,355,47.2636184692,-116.927947998,229,2,[  0 128   0],47.282936096191406,-117.13229560852051,"{'top_right': (629, 354), 'bottom_left': (628, 355), 'bottom_right': (629, 355), 'top_left': (628, 354)}",2088981.6008,1366903.60828,484.639406735
630,355,47.1443939209,-117.160446167,230,2,[  0 128   0],47.16313648223877,-117.36428451538086,"{'top_right': (630, 354), 'bottom_left': (629, 355), 'bottom_right': (630, 355), 'top_left': (629, 354)}",2071056.3472,1354143.65475,483.849866363
631,355,47.0246315002,-117.391532898,231,2,[  0 128   0],47.042799949645996,-117.5948486328125,"{'top_right': (631, 354), 'bottom_left': (630, 355), 'bottom_right': (631, 355), 'top_left': (630, 354)}",2053158.61708,1341378.81264,483.057254963
602,356,50.4243392944,-110.255851746,232,2,[  0 128   0],50.460350036621094,-110.4730167388916,"{'top_right': (602, 355), 'bottom_left': (601, 356), 'bottom_right': (602, 356), 'top_left': (601, 355)}",2570297.16668,1727653.36826,505.142427088
603,356,50.3221130371,-110.529129028,233,2,[  0 128   0],50.357440948486328,-110.7459545135498,"{'top_right': (603, 355), 'bottom_left': (602, 356), 'bottom_right': (603, 356), 'top_left': (602, 355)}",2551672.89671,1715057.41418,504.490958469
604,356,50.2191238403,-110.800880432,234,2,[  0 128   0],50.25377368927002,-111.01735496520996,"{'top_right': (604, 355), 'bottom_left': (603, 356), 'bottom_right': (604, 356), 'top_left': (603, 355)}",2533072.06261,1702452.2502,503.836034342
605,356,50.1153831482,-111.071105957,235,2,[  0 128   0],50.149357795715332,-111.2872200012207,"{'top_right': (605, 355), 'bottom_left': (604, 356), 'bottom_right': (605, 356), 'top_left': (604, 355)}",2514494.75489,1689838.13146,503.176603457
606,356,50.0108985901,-111.339805603,236,2,[  0 128   0],50.044201850891113,-111.55554962158203,"{'top_right': (606, 355), 'bottom_left': (605, 356), 'bottom_right': (606, 356), 'top_left': (605, 355)}",2495941.22342,1677215.21828,502.51047149
607,356,49.9056777954,-111.60697937,237,2,[  0 128   0],49.938314437866211,-111.82234382629395,"{'top_right': (607, 355), 'bottom_left': (606, 356), 'bottom_right': (607, 356), 'top_left': (606, 355)}",2477411.73591,1664583.67336,501.839080825
608,356,49.7997322083,-111.872619629,238,2,[  0 128   0],49.831703186035156,-112.08760261535645,"{'top_right': (608, 355), 'bottom_left': (607, 356), 'bottom_right': (608, 356), 'top_left': (607, 355)}",2458906.58197,1651943.55567,501.162398533
609,356,49.6930656433,-112.136741638,239,2,[  0 128   0],49.724376678466797,-112.3513298034668,"{'top_right': (609, 355), 'bottom_left': (608, 356), 'bottom_right': (609, 356), 'top_left': (608, 355)}",2440425.78924,1639295.02209,500.479089733
610,356,49.5856895447,-112.399345398,240,2,[  0 128   0],49.616344451904297,-112.61352920532227,"{'top_right': (610, 355), 'bottom_left': (609, 356), 'bottom_right': (610, 356), 'top_left': (609, 355)}",2421969.39669,1626638.3412,499.789486576
611,356,49.4776115417,-112.660430908,241,2,[  0 128   0],49.507615089416504,-112.87420463562012,"{'top_right': (611, 355), 'bottom_left': (610, 356), 'bottom_right': (611, 356), 'top_left': (610, 355)}",2403537.46232,1613973.6812,499.097060396
612,356,49.3688430786,-112.919998169,242,2,[  0 128   0],49.398197174072266,-113.13335609436035,"{'top_right': (612, 355), 'bottom_left': (611, 356), 'bottom_right': (612, 356), 'top_left': (611, 355)}",2385130.3345,1601301.22279,498.396593076
613,356,49.2593917847,-113.17805481,243,2,[  0 128   0],49.288098335266113,-113.39098358154297,"{'top_right': (613, 355), 'bottom_left': (612, 356), 'bottom_right': (613, 356), 'top_left': (612, 355)}",2366748.38065,1588621.042,497.688384455
614,356,49.1492614746,-113.434593201,244,2,[  0 128   0],49.177327156066895,-113.64709281921387,"{'top_right': (614, 355), 'bottom_left': (613, 356), 'bottom_right': (614, 356), 'top_left': (613, 355)}",2348391.56522,1575933.31426,496.978124944
615,356,49.0384635925,-113.689628601,245,2,[  0 128   0],49.065892219543457,-113.90168762207031,"{'top_right': (615, 355), 'bottom_left': (614, 356), 'bottom_right': (615, 356), 'top_left': (614, 355)}",2330060.00411,1563238.22389,496.262460938
616,356,48.9270057678,-113.943161011,246,2,[  0 128   0],48.953802108764648,-114.15477180480957,"{'top_right': (616, 355), 'bottom_left': (615, 356), 'bottom_right': (616, 356), 'top_left': (615, 355)}",2311753.82677,1550535.95995,495.540827186
617,356,48.8148994446,-114.19519043,247,2,[  0 128   0],48.841064453125,-114.40634918212891,"{'top_right': (617, 355), 'bottom_left': (616, 356), 'bottom_right': (617, 356), 'top_left': (616, 355)}",2293473.17681,1537826.6101,494.816193944
618,356,48.7021484375,-114.445724487,248,2,[  0 128   0],48.727687835693359,-114.65642166137695,"{'top_right': (618, 355), 'bottom_left': (617, 356), 'bottom_right': (618, 356), 'top_left': (617, 355)}",2275218.34907,1525110.37303,494.08193037
619,356,48.5887641907,-114.694763184,249,2,[  0 128   0],48.613679885864258,-114.90499305725098,"{'top_right': (619, 355), 'bottom_left': (618, 356), 'bottom_right': (619, 356), 'top_left': (618, 355)}",2256989.51247,1512387.34368,493.342593064
620,356,48.4747505188,-114.942306519,250,2,[  0 128   0],48.499050140380859,-115.15206909179688,"{'top_right': (620, 355), 'bottom_left': (619, 356), 'bottom_right': (620, 356), 'top_left': (619, 355)}",2238786.70704,1499657.83333,492.599958823
621,356,48.3601226807,-115.188369751,251,2,[  0 128   0],48.383807182312012,-115.39765357971191,"{'top_right': (621, 355), 'bottom_left': (620, 356), 'bottom_right': (621, 356), 'top_left': (620, 355)}",2220610.1259,1486922.05245,491.850950855
622,356,48.244884491,-115.432952881,252,2,[  0 128   0],48.267956733703613,-115.64175033569336,"{'top_right': (622, 355), 'bottom_left': (621, 356), 'bottom_right': (622, 356), 'top_left': (621, 355)}",2202459.97177,1474179.89754,491.098247149
623,356,48.1290397644,-115.676055908,253,2,[  0 128   0],48.151508331298828,-115.88436508178711,"{'top_right': (623, 355), 'bottom_left': (622, 356), 'bottom_right': (623, 356), 'top_left': (622, 355)}",2184336.3188,1461431.69441,490.339954933
624,356,48.0126037598,-115.917686462,254,2,[  0 128   0],48.034469604492188,-116.12550354003906,"{'top_right': (624, 355), 'bottom_left': (623, 356), 'bottom_right': (624, 356), 'top_left': (623, 355)}",2166239.25003,1448677.56251,489.579035909
625,356,47.8955802917,-116.157852173,255,2,[  0 128   0],47.916848182678223,-116.36516952514648,"{'top_right': (625, 355), 'bottom_left': (624, 356), 'bottom_right': (625, 356), 'top_left': (624, 355)}",2148168.99987,1435917.62405,488.810150428
626,356,47.7779808044,-116.39655304,256,2,[  0 128   0],47.798652648925781,-116.60336875915527,"{'top_right': (626, 355), 'bottom_left': (625, 356), 'bottom_right': (626, 356), 'top_left': (625, 355)}",2130125.67267,1423152.11375,488.037860487
627,356,47.6598091125,-116.633804321,257,2,[  0 128   0],47.679889678955078,-116.84010696411133,"{'top_right': (627, 355), 'bottom_left': (626, 356), 'bottom_right': (627, 356), 'top_left': (626, 355)}",2112109.37771,1410381.0597,487.262481508
628,356,47.5410728455,-116.869598389,258,2,[  0 128   0],47.560567855834961,-117.07538604736328,"{'top_right': (628, 355), 'bottom_left': (627, 356), 'bottom_right': (628, 356), 'top_left': (627, 355)}",2094120.52381,1397604.69881,486.475646009
629,356,47.4217834473,-117.103942871,259,2,[  0 128   0],47.440696716308594,-117.30921363830566,"{'top_right': (629, 355), 'bottom_left': (628, 356), 'bottom_right': (629, 356), 'top_left': (628, 355)}",2076159.10467,1384823.38867,485.685944979
630,356,47.3019485474,-117.336845398,260,2,[  0 128   0],47.320281982421875,-117.54159545898438,"{'top_right': (630, 355), 'bottom_left': (629, 356), 'bottom_right': (630, 356), 'top_left': (629, 355)}",2058225.2532,1372037.06513,484.895672959
631,356,47.1815719604,-117.568313599,261,2,[  0 128   0],47.19933032989502,-117.77253913879395,"{'top_right': (631, 355), 'bottom_left': (630, 356), 'bottom_right': (631, 356), 'top_left': (630, 355)}",2040318.96751,1359245.7803,484.102480556
632,356,47.0606613159,-117.798355103,262,2,[  0 128   0],47.077851295471191,-118.00205039978027,"{'top_right': (632, 355), 'bottom_left': (631, 356), 'bottom_right': (632, 356), 'top_left': (631, 355)}",2022440.40804,1346449.90449,483.302951735
601,357,50.7009468079,-110.140792847,263,2,[  0 128   0],50.737292289733887,-110.35950088500977,"{'top_right': (601, 356), 'bottom_left': (600, 357), 'bottom_right': (601, 357), 'top_left': (600, 356)}",2576373.00756,1758897.43395,506.894446035
602,357,50.5988883972,-110.416473389,264,2,[  0 128   0],50.63454532623291,-110.63484382629395,"{'top_right': (602, 356), 'bottom_left': (601, 357), 'bottom_right': (602, 357), 'top_left': (601, 356)}",2557714.22885,1746285.36458,506.249912592
603,357,50.4960594177,-110.690612793,265,2,[  0 128   0],50.531031608581543,-110.90862655639648,"{'top_right': (603, 356), 'bottom_left': (602, 357), 'bottom_right': (603, 357), 'top_left': (602, 356)}",2539078.97657,1733664.08233,505.596406129
