timestamp,perc coverage,coverage (km+AF4-2)
2004+AC0-05+AC0-31,0.0844624346,680912.222814
2004+AC0-06+AC0-01,0.0801873009,646447.305567
2004+AC0-06+AC0-02,0.0785807973,633496.128943
2004+AC0-06+AC0-03,0.0785807973,633496.128943
2004+AC0-06+AC0-04,0.0882175086,711184.565648
2004+AC0-06+AC0-05,0.0883897461,712573.095696
2004+AC0-06+AC0-06,0.0846864024,682717.787439
2004+AC0-06+AC0-07,0.0846864024,682717.787439
2004+AC0-06+AC0-08,0.0846864024,682717.787439
2004+AC0-06+AC0-09,0.0846864024,682717.787439
2004+AC0-06+AC0-10,0.0846864024,682717.787439
2004+AC0-06+AC0-11,0.0846864024,682717.787439
2004+AC0-06+AC0-12,0.0821113784,661958.673649
2004+AC0-06+AC0-13,0.0821113784,661958.673649
2004+AC0-06+AC0-14,0.0821113784,661958.673649
2004+AC0-06+AC0-15,0.0778930296,627951.540261
2004+AC0-06+AC0-16,0.0777736635,626989.244972
2004+AC0-06+AC0-17,0.0777736635,626989.244972
2004+AC0-06+AC0-18,0.0769741056,620543.435369
2004+AC0-06+AC0-19,0.0769741056,620543.435369
2004+AC0-06+AC0-20,0.0766715657,618104.44449
2004+AC0-06+AC0-21,0.0756296695,609704.972908
2004+AC0-06+AC0-22,0.075828783,611310.169299
2004+AC0-06+AC0-23,0.075828783,611310.169299
2004+AC0-06+AC0-24,0.0674015916,543372.539325
2004+AC0-06+AC0-25,0.0602349251,485596.90432
2004+AC0-06+AC0-26,0.0600073638,483762.369094
2004+AC0-06+AC0-27,0.0600073638,483762.369094
2004+AC0-06+AC0-28,0.0604452023,487292.098947
2004+AC0-06+AC0-29,0.0595820751,480333.811951
2004+AC0-06+AC0-30,0.0624899195,503776.029855
2004+AC0-07+AC0-01,0.0624899195,503776.029855
2004+AC0-07+AC0-02,0.0609098456,491037.921932
2004+AC0-07+AC0-03,0.0609098456,491037.921932
2004+AC0-07+AC0-04,0.0599107513,482983.506514
2004+AC0-07+AC0-05,0.0599107513,482983.506514
2004+AC0-07+AC0-06,0.0597618229,481782.888327
2004+AC0-07+AC0-07,0.0597618229,481782.888327
2004+AC0-07+AC0-08,0.0597618229,481782.888327
2004+AC0-07+AC0-09,0.0597618229,481782.888327
2004+AC0-07+AC0-10,0.0597618229,481782.888327
2004+AC0-07+AC0-11,0.0597618229,481782.888327
2004+AC0-07+AC0-12,0.0597618229,481782.888327
2004+AC0-07+AC0-13,0.058878851,474664.618508
2004+AC0-07+AC0-14,0.058878851,474664.618508
2004+AC0-07+AC0-15,0.058878851,474664.618508
2004+AC0-07+AC0-16,0.0576897071,465078.077256
2004+AC0-07+AC0-17,0.0576897071,465078.077256
2004+AC0-07+AC0-18,0.054142095,436478.23353
